cell_type,gene_symbol,gene_id_AD,log2FoldChange_AD,lfcSE_AD,stat_AD,pvalue_AD,padj_AD,log2FoldChange_PD,lfcSE_PD,stat_PD,pvalue_PD,padj_PD,brain_AD_PD_same_direction,conjunction_p,conjunction_FDR,retinal_donors_detected,retinal_positive_cells,retinal_total_counts,retina_expression,protein_rows,AD_donors_measured,Control_donors_measured,AD_retina_protein_measured,AD_retina_log2FC,AD_retina_t,AD_retina_pvalue,AD_retina_FDR,Lysis_AD_vs_Control_log2FC,RIPA_AD_vs_Control_log2FC,AD_retina_buffer_direction_consistent,AD_retina_nominal_P05,AD_retina_FDR05,UniProt,PD_AH_mean_Control,PD_AH_mean_PD,PD_AH_log2RFU_diff,PD_AH_Welch_t,PD_AH_pvalue,PD_AH_FDR,PD_AH_nominal_P05,PD_AH_FDR05,PD_AH_FDR05_abs_effect_gt1,PD_AH_FDR05_abs_effect_gt2,PD_aqueous_protein_measured,AD_retina_same_direction_as_AD_brain,PD_aqueous_same_direction_as_PD_brain,AD_retina_nominal_support,AD_retina_FDR_support,AD_retina_buffer_robust_support,PD_aqueous_nominal_support,PD_aqueous_FDR_support,PD_aqueous_strong_support,both_ocular_proteins_measured,both_ocular_same_disease_direction,dual_ocular_nominal_support,dual_ocular_FDR_support,multimodal_directional_support,multimodal_nominal_support,multimodal_FDR_support,matched_pathways,concordant_pathways,convergent_FDR05_pathways,core_evidence_class
Astro,DDT,ENSG00000099977.14,-0.6046904360937654,0.9946063824629072,-0.6079695915447402,0.5432076420849787,0.9844844373426138,-0.6448977772209574,0.3954144664522699,-1.6309412829709973,0.102902709709843,0.6535636093127154,True,0.2716038210424893,0.8649993362827079,7,32752.0,145554.0,True,1.0,8.0,8.0,True,-0.0609387163987236,-0.1504119926241831,0.8826965604343124,0.9603723196186866,-0.2444820014868298,0.1226045686893861,False,False,False,P30046,0.2405076174947472,0.0,-0.2405076174947472,-1.6402393015640515,0.1183136717827568,0.1952227040057028,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,PON1,ENSG00000005421.8,-1.36959578045465,0.5687061041226208,-2.408266362056396,0.0160284819159686,0.7617256166334234,-0.5376518145244388,0.2632130410256745,-2.042648846080521,0.0410872120327017,0.4915957247584973,True,0.0205436060163508,0.8649993362827079,6,18.0,18.0,True,1.0,8.0,8.0,True,-0.6682810902071736,-0.8747976959058329,0.401569995066341,0.8768494707880053,,-0.2879263476296998,False,False,False,P27169,2.0040489055872843,0.0,-2.0040489055872843,-7.352501853445242,7.979014195161753e-07,6.395573209107822e-05,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,NPEPL1,ENSG00000215440.11,-1.0541798354900431,0.319443522616394,-3.3000507471737417,0.0009666734683954,0.4871773782284606,-0.5294774694646442,0.2132951483245776,-2.4823699630472715,0.0130511693466531,0.3417510217480632,True,0.0065255846733265,0.8649993362827079,7,5058.0,6126.0,True,1.0,8.0,8.0,True,-1.0033039199275535,-2.103426678782684,0.0540948960194541,0.8768494707880053,-1.848790360279416,-0.1578174795756908,True,False,False,Q8NDH3,1.9717497851554655,0.17426843314156,-1.7974813520139057,-6.013655537520855,9.049721870185415e-06,0.000367871194023,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,MAG,ENSG00000105695.14,-0.7851973088819743,0.5269934015620419,-1.4899566229000205,0.1362356417404861,0.9258548931331356,-0.4967189610869186,0.4738980824656626,-1.0481556677809716,0.2945668919340223,0.8185673788813812,True,0.1472834459670111,0.8649993362827079,5,36.0,36.0,True,1.0,8.0,8.0,True,-1.2962904800730255,-2.111315799029132,0.0544488679605689,0.8768494707880053,-1.60059951682409,-0.9919814433219614,True,False,False,P20916,9.782364419583429,7.6119607831323375,-2.1704036364510912,-1.3545130213139234,0.2466530733491515,0.3379158980332261,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,STX1B,ENSG00000099365.10,-0.46299036375425,0.4187591257180358,-1.1056245352513143,0.268889065669089,0.9583372658894556,-0.932509145588598,0.3137184678552419,-2.9724394357901898,0.0029544349227287,0.2067371386073292,True,0.1344445328345445,0.8649993362827079,7,15253.0,47850.0,True,1.0,8.0,8.0,True,-0.206657159357924,-0.4047747728389044,0.6924124645695299,0.9012323673088282,-0.5656470655177088,0.1523327468018749,False,False,False,P61266,0.4318543641454805,0.0,-0.4318543641454805,-1.7951611109597116,0.0894376861450269,0.1594579799033047,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,COX5B,ENSG00000135940.6,-0.6054497193832861,0.3149099387774417,-1.92261229268848,0.0545287590436781,0.8837432439928564,-0.452039781094546,0.4440495963490497,-1.0179939016073682,0.308680854233731,0.829399325395556,True,0.1543404271168655,0.8649993362827079,7,69519.0,570590.0,True,1.0,8.0,8.0,True,-0.59225847649736,-1.101780771062867,0.2919623563112385,0.8768494707880053,-0.8774837706070713,-0.3070331823876415,True,False,False,P10606,0.8877487515573342,0.6063979930329209,-0.2813507585244134,-0.5399082526243933,0.6067327172474344,0.6694292155593542,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,NDUFB10,ENSG00000140990.14,-0.4516368161368344,0.3879037418329914,-1.1643012619643218,0.2443019453301801,0.954412134782418,-0.6867311410222174,0.4224271022106412,-1.6256796437265104,0.1040178226500027,0.6539035069893677,True,0.12215097266509,0.8649993362827079,7,45109.0,187310.0,True,1.0,8.0,8.0,True,-0.2667869087948418,-0.8191220850815873,0.4267503241610707,0.8768494707880053,-0.330449883853845,-0.2031239337358386,True,False,False,O96000,1.091191006760212,0.251534652125896,-0.839656354634316,-2.2543114125120765,0.039989729539709,0.0906338314657444,True,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,HSD17B10,ENSG00000072506.12,-0.438697966807563,0.5732732867649083,-0.7652510189044744,0.4441220846877072,0.9769685200294695,-0.4548945683024978,0.2865992622195454,-1.587214721976612,0.1124640215690166,0.6698606880208197,True,0.2220610423438536,0.8649993362827079,7,15732.0,28320.0,True,1.0,8.0,8.0,True,-1.0837822095121863,-1.6588320042624458,0.1301304355709819,0.8768494707880053,-0.60072261376828,-1.566841805256093,True,False,False,Q99714,5.395800203556284,3.284189945223454,-2.11161025833283,-1.831257437750419,0.1337742611330795,0.2149983959639525,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,IKBKG,ENSG00000269335.5,-0.7207616835105956,0.4918595161216372,-1.4653811909422336,0.1428169462023373,0.9283335323354028,-0.4321008373788192,0.1897451170748354,-2.277269866230069,0.0227701152475949,0.4136351902574907,True,0.0714084731011686,0.8649993362827079,7,11308.0,19269.0,True,1.0,8.0,8.0,True,-1.0436336410246805,-2.0218645926278573,0.0658415059297806,0.8768494707880053,-1.018264975335601,0.1071855690403396,False,False,False,Q9Y6K9,0.0374772350452922,0.0,-0.0374772350452922,-1.0000000000000002,0.330564931278184,0.4067658214744228,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
Astro,OAT,ENSG00000065154.11,-0.4319089077987229,0.2227409690428118,-1.9390636112196675,0.0524935929356483,0.8827688407049274,-0.4383466836176984,0.2265667580765603,-1.93473520713738,0.0530227976366964,0.5298660394286453,True,0.0265113988183481,0.8649993362827079,7,28564.0,69302.0,True,1.0,8.0,8.0,True,-1.0188763131502476,-1.6756614428907437,0.1212023170623588,0.8768494707880053,-0.3216923230300494,-1.7160603032704458,True,False,False,P04181,5.60484968462344,2.867238640017626,-2.737611044605813,-2.262489214064888,0.0856388022317761,0.1548624987804497,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,1510,831,26,C_dual_ocular_directional
