figure_order,pathway,cell_type,disease,NES,FDR,FDR05
14,Interferon Signaling,OPC,PD,-1.512359289237177,0.2467843381487278,False
14,Interferon Signaling,Oligo,AD,1.1225876773560275,0.7553943698568939,False
14,Interferon Signaling,Oligo,PD,0.6980396565491344,0.9718020565428702,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Astro,AD,-1.3467963200752833,0.47376135884808,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Astro,PD,-1.1952013897222749,0.3476266891346783,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Micro,AD,-1.3993808428938703,0.611028322219977,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Micro,PD,-1.2886870708274087,0.2472217397809722,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",OPC,AD,-1.6175094480027208,0.1551259020813148,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",OPC,PD,-1.396241605643771,0.3569798392840163,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Oligo,AD,-1.2123344829680798,0.8440594027697437,False
15,"Gamma carboxylation, hypusinylation, hydroxylation, and arylsulfatase activation",Oligo,PD,-0.9086235387433096,0.8277841866026402,False
16,Sulfur amino acid metabolism,Astro,AD,-1.232932542043352,0.5674611865822425,False
16,Sulfur amino acid metabolism,Astro,PD,-1.6014734904484624,0.0533473699839543,False
16,Sulfur amino acid metabolism,Micro,AD,-1.2504575570185357,0.8399985210451971,False
16,Sulfur amino acid metabolism,Micro,PD,-1.2601080445079624,0.2736983188620893,False
16,Sulfur amino acid metabolism,OPC,AD,-1.0436509757887176,0.6493678841728537,False
16,Sulfur amino acid metabolism,OPC,PD,-1.5664940270738374,0.2170598936484994,False
16,Sulfur amino acid metabolism,Oligo,AD,-1.5734991654254846,0.6595385582393157,False
16,Sulfur amino acid metabolism,Oligo,PD,-1.6626794156203075,0.0975481285377516,False
17,Citric acid cycle (TCA cycle),Astro,AD,-1.0165923991446968,0.7577256873057898,False
17,Citric acid cycle (TCA cycle),Astro,PD,-1.8925425449049984,0.0053351575913254,True
17,Citric acid cycle (TCA cycle),Micro,AD,-1.2417219686378491,0.8422906944424787,False
17,Citric acid cycle (TCA cycle),Micro,PD,-1.936484468814775,0.0074923104186421,True
17,Citric acid cycle (TCA cycle),OPC,AD,-1.591752330436949,0.1673705351255819,False
