candidate_rank,gene_symbol,priority_group,best_evidence_class,best_evidence_rank,n_cell_types_present,cell_types,celltype_evidence_signature,n_class_A,n_class_B,n_class_C,n_class_D,n_class_E,n_class_F,n_best_class_celltypes,n_brain_AD_PD_concordant_celltypes,brain_concordant_all_present_celltypes,median_AD_brain_log2FC,median_PD_brain_log2FC,median_conservative_brain_abs_effect,max_conservative_brain_abs_effect,retina_expression,retinal_donors_detected,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,AD_retina_FDR_support_any_celltype,n_AD_retina_same_direction_celltypes,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,PD_aqueous_FDR_support_any_celltype,n_PD_aqueous_same_direction_celltypes,n_multimodal_directional_celltypes,n_multimodal_nominal_celltypes,n_multimodal_FDR_celltypes
2273,CTSZ,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.3906221201455168,-0.071760765482069,0.071760765482069,0.3979175255576681,True,7,-0.4225797391667782,0.5230863873433197,0.8768494707880053,False,4,0.8522037354820924,0.0020619855079189,0.0148932196915247,False,0,0,0,0
2274,METTL6,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.17434569827383395,-0.0716831431534526,0.0716831431534526,0.1676891669984016,True,7,,,,False,0,,,,False,0,0,0,0
2275,ANKRD17,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.12621190366508345,0.09125389538680295,0.071627498792611,0.1744467262605732,True,7,,,,False,0,,,,False,0,0,0,0
2276,AGK,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.008442842306806152,-0.0444523424959931,0.07153625821402955,0.1645265114204795,True,7,0.004917668175139,0.9886911601548822,0.995467112472009,False,2,,,,False,0,0,0,0
2277,MAP3K5,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0714854252515029,0.1103791594574576,0.0714854252515029,0.1410837814778137,True,7,,,,False,0,,,,False,0,0,0,0
2278,HMBOX1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.1433340147678426,0.0714503441478283,0.0714503441478283,0.1542644762754506,True,7,,,,False,0,,,,False,0,0,0,0
2279,NOL7,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.6894237575900788,0.07123708833126265,0.07123708833126265,0.2672319120723028,True,7,,,,False,0,,,,False,0,0,0,0
2280,MARK1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.34621563865418903,0.07123388173195855,0.07123388173195855,0.2115840576836219,True,7,-0.4482385814177512,0.6127249836118849,0.8866151631416815,False,0,,,,False,0,0,0,0
2281,CAMSAP2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.15214288142346655,0.0737960266101542,0.07114285900428789,0.0862301333691552,True,7,-0.179933680340774,0.8028695332266349,0.9329899485080893,False,0,,,,False,0,0,0,0
2282,TRAFD1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.20575538568481672,-0.037535273860088446,0.0707451540243553,0.2864334087517272,True,7,,,,False,0,,,,False,0,0,0,0
2283,ZNF787,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.08073498360259745,-0.015374868773751747,0.0706663897359264,0.191387076976557,True,7,-0.5646305669489422,0.3195879239506741,0.8768494707880053,False,2,,,,False,0,0,0,0
2284,N4BP2L2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.17965147571359708,0.0901354269494318,0.0706368289118879,0.1133765313219959,True,7,,,,False,0,0.4610098945323182,0.0158762842499998,0.0500564729455673,False,4,0,0,0
2285,ADAMTS6,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0926347525767554,0.055399096881379555,0.0705121185098368,0.2203280000906668,True,7,,,,False,0,0.3558219735707526,0.6930868482934089,0.7474875425652774,False,3,0,0,0
