figure_order,pathway,pathway_rank,priority_group,n_pathways_represented,n_convergent_FDR_celltypes,n_same_direction_celltypes,shared_candidate_genes,Astro_AD_NES,Astro_PD_NES,Astro_AD_FDR,Astro_PD_FDR,Micro_AD_NES,Micro_PD_NES,Micro_AD_FDR,Micro_PD_FDR,OPC_AD_NES,OPC_PD_NES,OPC_AD_FDR,OPC_PD_FDR,Oligo_AD_NES,Oligo_PD_NES,Oligo_AD_FDR,Oligo_PD_FDR
21,Diseases associated with the TLR signaling cascade,52,R3_recurrent_directional,3,0,4,IKBKG;TLR10;RELA;TLR5;HMGB1;IKBKB;LY96;CD36;NFKBIA;NFKB1;BTK;TLR3;TLR2,1.360800661775194,1.2199020247647967,0.2700010796813366,0.6055527845466545,-1.1315700487456162,-1.3207330006705902,0.8807563031243558,0.2166036840929619,1.0394751031536218,1.2002326471665337,0.8638995586939426,0.5440309935179717,1.2722567657485846,1.753215304046984,0.656700454186217,0.0774408581065013
22,Defective pyroptosis,55,R3_recurrent_directional,2,0,4,PRIM1;EED;DNMT1;SUZ12;RBBP4;PRIM2;DNMT3A;GSDME,1.0414181723159464,1.1232171170624892,0.6615981517604322,0.6738429439363941,-0.7365987956025545,-1.5483101744923409,0.9838451966001968,0.0844463861843494,1.5157261013410144,1.2664943996940434,0.5845821662135438,0.4796223445263646,1.5739041610449207,1.2947883919131165,0.5924445897331615,0.3258461975680213
23,Constitutive Signaling by Aberrant PI3K in Cancer,56,R3_recurrent_directional,6,0,4,EGFR;KIT;NTRK2;FGFR1;HGF;ERBB3;IRS1;IRS2;PIK3CA;FGF2;GAB1;NRG3;STRN;ERBB4;TGFA;NTRK3;PIK3AP1;FYN,1.4303897974620856,0.8824918763881499,0.2387733460298223,0.9240971154512504,1.1811924812531094,2.192275049847171,0.7902087411351386,0.0009513935729929,1.1231447864006692,1.1219269711668305,0.8037346015474011,0.6498880091028761,1.3319129942894048,1.3354869963569136,0.6269369789367975,0.2967609514997651
24,Spry regulation of FGF signaling,58,R3_recurrent_directional,5,0,4,PTPN11;MAPK1;UBA52;MAPK3;BRAF;UBC;PPP2R1A;GRB2;MKNK1,-1.1763290468411531,-1.516418154198262,0.6325433547671397,0.0905434277995533,-1.105691030701844,-1.3481570479658154,0.8646677320793305,0.1949139599598131,-1.2202095482638222,-1.3652704454081557,0.4506418009818313,0.3629305272846312,-0.9020438025390164,-0.6910221703302566,1.0,0.9859518684182824
25,ESR-mediated signaling,59,R3_recurrent_directional,3,0,4,CDKN1B;POLR2C;HSP90AA1;EGFR;IGF1R;CXCL12;EGF;FKBP5;PPID;PIK3CA;POLR2H;ATF2;CREB1;ERBB4;RAD21;STAG1;NCOA1;PTGES3;HSPB1;CAV2;FKBP4;STAG2;EP300;GNAI3;KCTD6;RUNX1;NRIP1;ZDHHC21;SMC3;NCOA2;ZNF217;XPO1;YY1;CAV1;FOS;ESR1;DDX5;SMC1A;GTF2F2;CREBBP;S1PR3;GREB1;AKT3;CHD1,1.2298728108859722,1.0371802254890288,0.4186477532637476,0.7630243816109865,1.2926456335580383,1.1053094646338495,0.6777461857663374,0.5737897639559719,1.2782740180069907,1.220877009449965,0.6410666395078655,0.5363845031617148,1.1748879228312836,1.660564378618914,0.7330634285816925,0.1018768885487666
26,SARS-CoV-2-host interactions,60,R3_recurrent_directional,4,0,4,IKBKG;PTPN11;SNRPD2;HSP90AA1;RPS3A;SNRPD3;IFIH1;HLA-C;STAT1;RPS27L;TUFM;TKFC;RPS6;TRAF6;BECN1;RPS4Y1;IRF7;NUP93;G3BP2;SNRPF;LARP1;NUP107;NUP214;SEH1L;UBA52;RPS15A;RPS27A;SEC13;KPNA2;NDC1;NUP43;NUP153;STAT2;YWHAB;ATG14;IRF3;NUP133;NUP88;HLA-F;YWHAH;IRAK2;RANBP2;RPSA;SNRPE;VPS11;CREBBP;VPS39;NLRP3;NOD1;SEC24D;NUP98;TPR,-1.2746001416595905,-1.4455619788815504,0.5332198770804887,0.127989295052109,-1.0850014084472002,-1.4269488698231885,0.8899633238876786,0.1458448011342043,-1.1922736596752208,-1.2510378003338518,0.4721695643670904,0.4938259664447778,0.8575638081770978,0.9696345362742635,0.9521504641546692,0.7038128998725338
27,Aerobic respiration and respiratory electron transport,63,R3_recurrent_directional,2,0,4,NDUFB10;GSTZ1;NDUFS4;NDUFB11;PKM;COX5B;UQCRB;ETFB;UQCRQ;COX4I1;NDUFS3;IDH3G;UQCR10;L2HGDH;ETFA;NDUFS6;RMND5B;GOT1;SIRT3;COX20;COX7A2L;NDUFA10;COX11;SLC25A12;SUCLG2;SFXN4;PDK4;BCS1L;COQ10A;NDUFB9;UBA52;OXA1L;RPS27A;NDUFV1;COX18;PYURF;D2HGDH;GLO1;NDUFB1;LETM1;SUCLG1;CYCS;SLC25A22;NDUFS5;SDHAF1;COX6B1;FH;SLC25A14;GOT2;COX5A;PDK3;NDUFA12;IDH3A;SLC25A11;COX7A2;COQ10B;LDHA;NDUFA3;COX7B;NDUFAB1;PDHB;ME1;SLC25A13;SCO1;IDH2;DMAC2;ATP5MC1;ATP5F1D;ATP5PB,-1.1859840616210606,-2.5221567187225804,0.6303475933773574,0.0,-1.005123522539385,-1.8689462875467384,0.988939339202937,0.0117407270507398,-1.319590908267818,-1.4490497047982258,0.3698281925956683,0.3101228465500941,-1.0487654369371264,-2.069080331556442,1.0,0.0061835695701276
28,Mitochondrial protein degradation,66,R3_recurrent_directional,1,0,4,HSD17B10;UQCRQ;COX4I1;TIMM10;LDHD;NDUFS3;BDH1;SPG7;PRKACA;AFG3L2;SUCLG2;MRPL32;SLC25A5;PMPCA;CHCHD2;NDUFV1;STARD7;PCCB;MDH2;FH;COX5A;IDH3A;OXCT1;TRIAP1;ALDH18A1;PDHB;IDH2,-1.1517508686461275,-2.38916040366366,0.6693287381876966,0.0,-0.8818022995446771,-1.4415711376368423,1.0,0.1368849849299266,-1.3616787974819655,-1.3359076734537871,0.34376256521091,0.3998928597459424,-1.0726995565403812,-1.5125768173533805,1.0,0.1608986539024522
29,Complex IV assembly,67,R3_recurrent_directional,1,0,4,COX4I1;COX7C;COX20;COX7A2L;COX11;COQ10A;COX18;COA3;COX6B1;TACO1;COX5A;COX7A2;COQ10B;COX7B;SCO1,-1.686410378161992,-1.9596066213753192,0.1139502312177803,0.0026927418073231,-0.6910400453457873,-1.2674452623418884,1.0,0.2644905796467892,-1.5037518394655631,-0.9600951588843308,0.2376346880135917,0.8009987786656245,-1.263721842813692,-1.8585263639545768,0.8065262478001431,0.0368711781282612
30,Signaling by PDGF,69,R3_recurrent_directional,1,0,4,RAPGEF1;PDGFC;PIK3CA;SOS1;COL6A6;CRKL;CRK;COL4A2;RASA1;STAT6;COL5A1;COL5A3;COL6A2,1.7603554627094518,1.3512289221756395,0.0736430097766553,0.5462785833949785,1.08149985804862,1.3292049704139122,0.853895404886172,0.313776161708049,1.022120627285122,1.090992422215514,0.888584562446856,0.6826047208673249,1.1403539123965778,1.332375045981398,0.7588619851216994,0.2989019995355606
