candidate_rank,gene_symbol,priority_group,best_evidence_class,best_evidence_rank,n_cell_types_present,cell_types,celltype_evidence_signature,n_class_A,n_class_B,n_class_C,n_class_D,n_class_E,n_class_F,n_best_class_celltypes,n_brain_AD_PD_concordant_celltypes,brain_concordant_all_present_celltypes,median_AD_brain_log2FC,median_PD_brain_log2FC,median_conservative_brain_abs_effect,max_conservative_brain_abs_effect,retina_expression,retinal_donors_detected,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,AD_retina_FDR_support_any_celltype,n_AD_retina_same_direction_celltypes,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,PD_aqueous_FDR_support_any_celltype,n_PD_aqueous_same_direction_celltypes,n_multimodal_directional_celltypes,n_multimodal_nominal_celltypes,n_multimodal_FDR_celltypes
30,ARPC2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.3596323083501489,-0.22188646649726876,0.1525516249698024,0.2774135333890877,True,7,-0.6190381058223124,0.3117423864095398,0.8768494707880053,False,4,-0.292932283276709,0.1999869493197615,0.288352097435714,False,4,4,0,0
31,CKB,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.25893647116858437,-0.44028955955109395,0.15244240261583544,0.7394488091820244,True,7,-0.4174661210990891,0.2273400769058335,0.8768494707880053,False,4,-1.3751503360296595,0.102209970696888,0.175415242230395,False,4,4,0,0
32,USP11,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.18441815554423413,-0.2943338660450173,0.15024099992291964,0.4154856288793658,True,7,-0.3387250634972147,0.5622082075913419,0.8830911939996079,False,4,-0.9933218957593096,0.005595586479916,0.027078641715308,True,4,4,0,0
33,AKR7A2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.29378908081238786,-0.25921664629761515,0.15017212402029015,0.4311153656284001,True,7,-0.4912924378251126,0.3715309323869182,0.8768494707880053,False,4,-0.4383273287692359,0.7317221733868741,0.780988538774325,False,4,4,0,0
34,PSPH,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,0.15909122521577423,0.22137494100636745,0.14428914055004688,0.2804752404459009,True,7,0.1063929816181392,0.7904938713834808,0.9288442454858824,False,4,0.9802051346545012,0.0265500541926517,0.0689622813374629,False,4,4,0,0
35,VPS28,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.43932289665819185,-0.1419443091136363,0.1419443091136363,0.2396294631298283,True,7,-0.265069991398569,0.6024028261836144,0.8851127791220113,False,4,-0.5450672134841279,0.1632679975036484,0.2508901296728567,False,4,4,0,0
36,NQO2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.1967537608199415,-0.185130045905408,0.10747184899760259,0.1548309159374414,True,7,-0.3159015831490421,0.4598281597987045,0.8768494707880053,False,4,-0.5546881878855188,0.6120980388064527,0.6741907614693218,False,4,4,0,0
37,GAA,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.19237441447248374,-0.10574937593830355,0.10574937593830355,0.1606143296251054,True,7,-0.2974531208620981,0.402588936958386,0.8768494707880053,False,4,-2.108815054913609,0.3363930744395373,0.4128559384592208,False,4,4,0,0
38,VAPB,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.1054159103451296,-0.1139032193734976,0.0890552826686023,0.1163281074649154,True,7,-0.1246828277831895,0.8034782486333713,0.9329899485080893,False,4,-0.4741674587904364,0.067839627025285,0.1306957743401817,False,4,4,0,0
39,MTMR1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.20137838863327423,-0.0875972116728704,0.0875972116728704,0.1977041419270446,True,7,-0.622183407898202,0.3869078237184301,0.8768494707880053,False,4,-0.1326283917303763,0.1633367104305074,0.2508901296728567,False,4,4,0,0
40,LSM12,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.21429554246140453,-0.09154220059546765,0.08516269912544044,0.1063055612948412,True,7,-0.1442153861024202,0.795003997042042,0.9302049578882642,False,4,-1.452076469733872,9.90573238505615e-05,0.0019306001028546,True,4,4,0,0
41,RTCA,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.25510131048479173,-0.16778406716715455,0.07773259676344114,0.3033483114577238,True,7,-0.0447807986836785,0.9342761805295304,0.9745460600979572,False,4,-0.0037078755640624,0.995330575255442,0.9963065676876388,False,4,4,0,0
42,KPNB1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.135578399620336,-0.10366687106171935,0.0739715331624324,0.1466404622390344,True,7,-0.2813367943770402,0.5147525643510087,0.8768494707880053,False,4,-0.6083199081295181,0.5500893016795669,0.6155246197126258,False,4,4,0,0
43,APRT,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.1536020753209151,-0.4142101071865322,0.072612333485338,0.3912493306638657,True,7,-0.4566698781154166,0.4240920223520465,0.8768494707880053,False,4,-2.4206914111514104,0.1067596624616113,0.1808780110357338,False,4,4,0,0
44,VCP,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.0771923882821436,-0.14498417758011317,0.07209465037119185,0.1060498409330133,True,7,-0.2432720230893359,0.6586616970374879,0.8928736107904959,False,4,-0.4252866044697847,0.1656655467734743,0.2524237286982175,False,4,4,0,0
45,PSME3,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.06731518048988386,-0.2314590286683407,0.06731518048988386,0.2272705283954501,True,7,-0.1458760962935379,0.7213024819038731,0.9077224745749805,False,4,-1.8186469950346489,9.501627363393986e-05,0.0018906909554222,True,4,4,0,0
46,DAP,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.06580493780642775,-0.0783742661769952,0.06485458115334995,0.0707506666849086,True,7,-0.2078852260323422,0.7591692048225096,0.9181719559536164,False,4,-1.27251631896144,0.2125522717977951,0.3023331614099605,False,4,4,0,0
47,ADRM1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.40318454008461835,-0.0745205895980098,0.0588459055763222,0.1616150834165525,True,7,-0.3275971197351985,0.5544286840066637,0.8814039709144764,False,4,-1.4041727367346717,0.0138501165309583,0.0462501985348703,True,4,4,0,0
48,PGP,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.24015126306266474,-0.048370630959277,0.048370630959277,0.097815666752908,True,7,-0.0833646774361618,0.8949912722932776,0.9632923944463372,False,4,-0.0918562780305238,0.7091530365955787,0.7620449265984589,False,4,4,0,0
49,RER1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.057801330740603354,-0.05611174862688326,0.03954232221062615,0.0642917500595407,True,7,-0.1938912639204382,0.8014534590187375,0.9329899485080893,False,4,-0.2507175015781716,0.3305649312781844,0.4067658214744228,False,4,4,0,0
50,GRHPR,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.03573757559544085,-0.05856026781901065,0.0220464957965241,0.0867745780657163,True,7,-0.3572470861405925,0.4264959319793866,0.8768494707880053,False,4,-0.4453255402021812,0.3775541892912256,0.4513993469025976,False,4,4,0,0
51,NUDT16,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:E | OPC:C | Oligo:C,0,0,3,0,1,0,3,4,True,-0.1252598062215898,-0.21457809910211245,0.19438807856700105,0.3275936120027575,True,7,-0.4345264642297977,0.3991554789071547,0.8768494707880053,False,3,-0.6037688395843448,0.5052397391727722,0.5740306160176176,False,3,3,0,0
52,KCNAB2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:E | OPC:C | Oligo:C,0,0,3,0,1,0,3,4,True,-0.1569143280996995,-0.28951179747006384,0.1569143280996995,0.2968542756456756,True,7,-1.4482948296577511,0.0408666361156494,0.8768494707880053,False,3,-1.7129203065947567,0.1149501085163038,0.1912220331954989,False,3,3,0,0
53,FSD1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:E,0,0,3,0,1,0,3,4,True,-0.2217453271034981,-0.3478597150667398,0.1535868528047736,0.9121618818000046,True,7,-1.470772173381533,0.0903320035657292,0.8768494707880053,False,3,-0.0960531606972319,0.8814083759490452,0.9083837500047114,False,3,3,0,0
54,HK2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:E,0,0,3,0,1,0,3,4,True,-0.0755449573669589,-0.1456420181530541,0.09698107631798565,0.2055069220515264,True,7,-0.5712330298925679,0.3165543647325286,0.8768494707880053,False,3,-0.6926705771353818,0.6729325477127271,0.7295978527401658,False,3,3,0,0
55,NDUFAF3,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:E | OPC:C | Oligo:C,0,0,3,0,1,0,3,4,True,-0.1046572247675067,-0.13877331979177754,0.0805823372854095,0.125621985273903,True,7,-0.381708667771413,0.5173282256855916,0.8768494707880053,False,3,-0.1596767789857567,0.2059380903034016,0.2952868913874171,False,3,3,0,0
56,DECR1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:E | Oligo:C,0,0,3,0,1,0,3,4,True,-0.12928455409376738,-0.07115958517432855,0.07115958517432855,0.0865081418086493,True,7,-0.4094655449701179,0.4035846072289482,0.8768494707880053,False,3,-1.8515265877455067,0.2805844286866495,0.3744854558292032,False,3,3,0,0
57,IK,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:E | OPC:C | Oligo:C,0,0,3,0,1,0,3,4,True,-0.10060911879089625,-0.13688369466552616,0.062387225237864,0.1646697230270444,True,7,-1.1042595633973278,0.0531251907661608,0.8768494707880053,False,3,-0.2733138985682605,0.1661808160058641,0.2529982915667964,False,3,3,0,0
58,NAGK,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:E | Oligo:C,0,0,3,0,1,0,3,4,True,-0.22020446778740177,-0.0481144533424437,0.0481144533424437,0.1626876587806128,True,7,-0.1719252514634277,0.6990629798259365,0.9017697723622436,False,3,-0.058086222761899,0.9115694384658808,0.9323762894157668,False,3,3,0,0
